p_224,s_470
p_322,s_300
p_319,s_147
p_192,s_758
p_287,s_269
p_112,s_651
p_289,s_598
p_78,s_1339
p_232,s_238
p_279,s_739
p_115,s_1377
p_15,s_107
p_320,s_1303
p_189,s_1294
p_336,s_880
p_154,s_1193
p_328,s_463
p_310,s_548
p_109,s_634
p_274,s_664
p_267,s_1230
p_177,s_1417
p_31,s_1403
p_151,s_431
p_93,s_706
p_194,s_1003
p_338,s_1226
p_137,s_469
p_134,s_894
p_52,s_690
p_50,s_1381
p_145,s_22
p_206,s_281
p_236,s_1397
p_86,s_1074
p_127,s_237
p_80,s_1345
p_120,s_1154
p_334,s_1141
p_316,s_1292
p_137,s_873
p_161,s_1000
p_59,s_727
p_35,s_334
p_41,s_718
p_15,s_803
p_317,s_728
p_207,s_944
p_305,s_1457
p_319,s_113
p_281,s_81
p_20,s_66
p_188,s_1281
p_131,s_513
p_329,s_1143
p_150,s_1337
p_212,s_79
p_176,s_516
p_27,s_377
p_94,s_1059
p_9,s_240
p_32,s_151
p_142,s_150
p_183,s_55
p_221,s_1233
p_181,s_1058
p_216,s_1436
p_14,s_1020
p_132,s_112
p_198,s_392
p_217,s_1352
p_88,s_600
p_225,s_1174
p_138,s_712
p_330,s_393
p_87,s_1120
p_204,s_652
p_271,s_992
p_266,s_257
p_85,s_527
p_76,s_420
p_337,s_1099
p_194,s_951
p_198,s_982
p_72,s_985
p_307,s_172
p_246,s_67
p_281,s_1101
p_230,s_43
p_249,s_916
p_273,s_1388
p_15,s_181
p_100,s_185
p_282,s_1472
p_240,s_1090
p_172,s_1354
p_8,s_490
p_48,s_938
p_58,s_1215
p_333,s_792
p_299,s_10
p_311,s_1133
p_12,s_92
p_226,s_89
p_160,s_296
p_220,s_611
p_34,s_490
p_64,s_1254
p_236,s_539
p_202,s_892
p_190,s_574
p_248,s_483
p_158,s_417
p_156,s_257
p_45,s_450
p_204,s_495
p_96,s_263
p_293,s_271
p_210,s_601
p_49,s_25
p_2,s_1112
p_235,s_793
p_237,s_494
p_32,s_1442
p_139,s_1341
p_148,s_872
p_173,s_991
p_198,s_1180
p_127,s_2
p_142,s_522
p_194,s_893
p_302,s_292
p_61,s_671
p_73,s_1251
p_125,s_537
p_217,s_728
p_251,s_1359
p_72,s_464
p_331,s_352
p_262,s_346
p_297,s_755
p_109,s_762
p_149,s_655
p_222,s_1111
p_335,s_193
p_135,s_636
p_233,s_1372
p_258,s_465
p_193,s_175
p_297,s_125
p_53,s_169
p_278,s_277
p_255,s_1146
p_234,s_391
p_146,s_13
p_309,s_247
p_38,s_318
p_120,s_221
p_217,s_546
p_326,s_400
p_189,s_128
p_76,s_654
p_42,s_1447
p_95,s_47
p_269,s_507
p_33,s_1081
p_142,s_95
p_91,s_316
p_134,s_917
p_159,s_1209
p_269,s_1466
p_334,s_1367
p_273,s_458
p_205,s_609
p_175,s_160
p_89,s_52
p_277,s_1109
p_110,s_476
p_331,s_453
p_66,s_65
p_330,s_1013
p_54,s_51
p_147,s_338
p_80,s_886
p_308,s_1262
p_310,s_1373
p_5,s_1316
p_125,s_306
p_9,s_619
p_298,s_1080
p_250,s_1079
p_157,s_87
p_314,s_716
p_302,s_1361
p_77,s_763
p_160,s_759
p_243,s_398
p_56,s_165
p_249,s_222
p_18,s_1394
p_158,s_1228
p_310,s_319
p_244,s_1091
p_162,s_1238
p_180,s_639
p_6,s_213
p_101,s_657
p_133,s_243
p_232,s_1342
p_224,s_183
p_63,s_8
p_85,s_1250
p_0,s_730
p_257,s_956
p_160,s_997
p_70,s_1
p_242,s_54
p_214,s_1189
p_76,s_1311
p_262,s_493
p_138,s_626
p_211,s_523
p_276,s_784
p_179,s_900
p_255,s_1053
p_113,s_644
p_323,s_554
p_148,s_395
p_285,s_597
p_222,s_936
p_69,s_72
p_145,s_505
p_316,s_1125
p_46,s_1379
p_240,s_920
p_26,s_46
p_276,s_1019
p_249,s_674
p_290,s_1155
p_131,s_558
p_120,s_443
p_235,s_378
p_92,s_974
p_58,s_1395
p_154,s_1227
p_221,s_451
